"","x"
"1",0.00343683044050054
"2",0.00418662100138033
"3",0.00103056620414673
"4",0.000811646972315957
"5",0.000408756224812904
"6",0.000355026479260723
"7",0.000334504784564976
"8",0.000245435418173519
"9",0.000214337067486637
"10",0.000221688756826906
"11",0.000212918463231369
"12",0.000122717144481993
"13",0.000131191765099298
"14",9.58645091208301e-05
"15",8.34924138092997e-05
"16",9.88846624949582e-05
"17",7.39321309526135e-05
"18",8.34597115437588e-05
"19",7.32019423269249e-05
"20",6.98446960704458e-05
"21",5.60702915037983e-05
"22",4.82520277790915e-05
"23",4.58362472234673e-05
"24",5.38238393275157e-05
"25",3.71635858411283e-05
"26",2.96996471582653e-05
"27",3.55508625326907e-05
"28",2.94010136851411e-05
"29",3.26413889492458e-05
"30",2.32402348065372e-05
"31",2.99918964043929e-05
"32",2.84449168925183e-05
"33",2.6064967106271e-05
"34",2.39979678293296e-05
"35",2.23444883517749e-05
"36",2.1426678708793e-05
"37",2.05594711879498e-05
"38",2.00569452663816e-05
"39",1.65161982191282e-05
"40",1.94779814677296e-05
"41",1.70622240848382e-05
"42",1.68697182124304e-05
"43",1.50371785687674e-05
"44",1.43641734243465e-05
"45",1.57314348034848e-05
"46",1.43817590919141e-05
"47",1.48162934900771e-05
"48",1.34309690705524e-05
"49",1.23914313995704e-05
"50",1.08092320221497e-05
"51",1.27248368166765e-05
"52",1.0828429593885e-05
"53",8.00074836158002e-06
"54",1.04675842972847e-05
"55",8.69102543541155e-06
"56",8.8676569725124e-06
"57",8.75473888425954e-06
"58",8.90330540265674e-06
"59",7.42972684498508e-06
"60",7.75213710875009e-06
"61",6.87914009421803e-06
"62",7.87740267209993e-06
"63",7.8198141064661e-06
"64",7.37193946738946e-06
"65",6.97327972041988e-06
"66",7.03653899552552e-06
"67",6.24469611105367e-06
"68",5.48743931662642e-06
"69",6.6662740864683e-06
"70",5.97229211562592e-06
"71",5.61875988856612e-06
"72",6.09140839491044e-06
"73",5.23864521828691e-06
"74",5.76696757815411e-06
"75",5.82057658372497e-06
"76",4.94733907342983e-06
"77",5.14280547535476e-06
"78",4.68609382978339e-06
"79",4.58604745848937e-06
"80",4.4537907641533e-06
"81",4.52047260916871e-06
"82",4.22097704896451e-06
"83",4.1062181968862e-06
"84",4.17741430053652e-06
"85",3.99722954452248e-06
"86",4.04074063228811e-06
"87",4.25930349441024e-06
"88",4.34386480114021e-06
"89",3.76670482610697e-06
"90",3.54652071526041e-06
"91",3.32612315534297e-06
"92",3.58045032087783e-06
"93",3.43811775562854e-06
"94",3.33388079112171e-06
"95",3.43360050606206e-06
"96",3.49231574249653e-06
"97",3.10618143126095e-06
"98",3.36508690875848e-06
"99",2.91942978053143e-06
"100",3.26467263928773e-06
"101",2.84542280670665e-06
"102",2.98080958572066e-06
"103",2.8584012618682e-06
"104",2.68406687244237e-06
"105",2.81739323721843e-06
"106",2.92325118724572e-06
"107",2.79744700509226e-06
"108",2.43211582087577e-06
"109",2.67470744888279e-06
"110",2.61963869085485e-06
"111",2.48126554647536e-06
"112",2.57868652372541e-06
"113",2.45661854588336e-06
"114",2.44125753909631e-06
"115",2.25633874791206e-06
"116",2.23116490377536e-06
"117",2.48228742093951e-06
"118",2.30656263428539e-06
"119",2.11669447911541e-06
"120",2.19840756293155e-06
"121",2.19657755831492e-06
"122",2.15395328734088e-06
"123",2.05735285681618e-06
"124",2.07177251520198e-06
"125",2.170359732743e-06
"126",2.10858015104338e-06
"127",2.01972712950724e-06
"128",1.74673994709394e-06
"129",2.05629491221834e-06
"130",1.84212062027237e-06
"131",1.73733241295687e-06
"132",1.87700093470168e-06
"133",1.88904555949167e-06
"134",1.73684292381501e-06
"135",1.74032101373677e-06
"136",1.87407217931805e-06
"137",1.77966664188572e-06
"138",1.73273537776729e-06
"139",1.78606994764528e-06
"140",1.58220742717201e-06
"141",1.62886644617131e-06
"142",1.51100137341453e-06
"143",1.5718298962474e-06
"144",1.41392215286695e-06
"145",1.5962709658997e-06
"146",1.41425535595598e-06
"147",1.48021994045734e-06
"148",1.4264311697308e-06
"149",1.46667702295904e-06
"150",1.43294843752671e-06
"151",1.435420514866e-06
"152",1.44796190447442e-06
"153",1.43280047659431e-06
"154",1.38289831360875e-06
"155",1.33031264859278e-06
