"","x"
"1",6.4430278181175e-05
"2",6.3899135218829e-05
"3",8.26985067580684e-05
"4",6.49672189025247e-05
"5",5.45046643343824e-05
"6",7.14266017532474e-05
"7",7.59068743328217e-05
"8",6.01882260314094e-05
"9",4.96465820045022e-05
"10",4.71892003334566e-05
"11",4.24438349900536e-05
"12",5.69606420841447e-05
"13",5.63220108642464e-05
"14",4.90857721994732e-05
"15",4.54455103377626e-05
"16",4.88189750756784e-05
"17",3.39330657187168e-05
"18",3.27443494810272e-05
"19",4.30752829930367e-05
"20",3.7039911512689e-05
"21",3.8743213511326e-05
"22",3.00418203875159e-05
"23",4.16587539431204e-05
"24",3.34697666009389e-05
"25",2.88644241572922e-05
"26",2.92864164035112e-05
"27",2.6823009659938e-05
"28",2.64006630785907e-05
"29",2.90075932735876e-05
"30",2.58731289394128e-05
"31",2.55495872483576e-05
"32",2.58010590668841e-05
"33",2.20588526146244e-05
"34",2.35960027392363e-05
"35",2.25075711010771e-05
"36",1.68380341199907e-05
"37",1.94234094631936e-05
"38",2.1163675511464e-05
"39",1.67216307371007e-05
"40",1.76136561703977e-05
"41",1.5328206390989e-05
"42",1.54445749191549e-05
"43",1.62232275698571e-05
"44",1.55274050003697e-05
"45",1.42508024063046e-05
"46",1.81548718059914e-05
"47",1.33103764588415e-05
"48",1.32134070421938e-05
"49",1.20354640552212e-05
"50",1.22013566736293e-05
"51",1.28821974358763e-05
"52",1.37520589372532e-05
"53",1.26196919761601e-05
"54",1.29708948996658e-05
"55",1.00900050947272e-05
"56",1.05750790969115e-05
"57",1.02386892220785e-05
"58",1.14888802546083e-05
"59",9.9334203924665e-06
"60",8.89481322253218e-06
"61",8.86675273914215e-06
"62",1.04069943229228e-05
"63",8.90054494579992e-06
"64",9.57120665466619e-06
"65",8.560109627877e-06
"66",8.32884473731725e-06
"67",8.63638910962238e-06
"68",7.5847645079146e-06
"69",8.29371267856666e-06
"70",7.8640617476157e-06
"71",7.07854710789027e-06
"72",6.95513701302079e-06
"73",6.74645149029592e-06
"74",6.43713461303381e-06
"75",7.20061744623007e-06
"76",6.18660586282236e-06
"77",6.88437211714079e-06
"78",6.15453005556945e-06
"79",6.209420600269e-06
"80",6.35278165856584e-06
"81",5.71530409587102e-06
"82",6.17116793882714e-06
"83",5.76537253367323e-06
"84",5.26179224036386e-06
"85",5.23890963890408e-06
"86",5.28992459263427e-06
"87",4.98236312392392e-06
"88",6.13691842237388e-06
"89",5.77035789681046e-06
"90",5.07435988230864e-06
"91",5.20622093323337e-06
"92",5.07106938743815e-06
"93",5.0562324122427e-06
"94",5.13163199171456e-06
"95",4.53806689741655e-06
"96",4.41925626946843e-06
"97",4.85256716563494e-06
"98",4.27171394206417e-06
"99",4.48455979161569e-06
"100",4.42600820781856e-06
"101",4.51892569772667e-06
"102",3.82885107257192e-06
"103",4.34333467850438e-06
"104",3.88030190801097e-06
"105",3.93206553773047e-06
"106",4.02837308787244e-06
"107",3.74662946673858e-06
"108",3.54162672432796e-06
"109",3.58713888270332e-06
"110",3.93804043311733e-06
"111",3.83998182081735e-06
"112",3.49318804725365e-06
"113",3.45259652569576e-06
"114",3.52178370068173e-06
"115",3.24356247676277e-06
"116",3.33953713789278e-06
"117",3.00547094547575e-06
"118",3.39064579416496e-06
"119",2.90213001495944e-06
"120",3.03450169543088e-06
"121",3.16477627256766e-06
"122",3.20527300453229e-06
"123",3.00284940163367e-06
"124",3.33127536133889e-06
"125",2.71806743686034e-06
"126",2.65286802878664e-06
"127",2.58630507330081e-06
"128",2.81088462708239e-06
"129",2.6482994546052e-06
"130",2.67373811651306e-06
"131",2.74902229192497e-06
"132",2.5930929337678e-06
"133",2.53433812535219e-06
"134",2.48606047507529e-06
"135",2.57630489714242e-06
"136",2.80674342252251e-06
"137",2.46910729323458e-06
"138",2.22875632797027e-06
"139",2.51782563484463e-06
"140",2.62429700490178e-06
"141",2.35603156784911e-06
"142",2.33992102653407e-06
"143",2.41893582516231e-06
"144",2.44384397998564e-06
"145",2.09045264135977e-06
"146",2.20771389485689e-06
"147",2.35586046427567e-06
"148",2.21844083399172e-06
"149",2.38097143260193e-06
"150",2.07855884196173e-06
"151",2.11274867125341e-06
"152",2.20515451137412e-06
"153",2.03645255286254e-06
"154",2.05926960671436e-06
"155",1.98381362871549e-06
"156",1.99184539082219e-06
"157",1.93614385480132e-06
"158",2.08579688611002e-06
"159",1.82886223701998e-06
"160",2.00598299926209e-06
"161",1.83814297787484e-06
"162",1.83439267923456e-06
"163",1.79921628079874e-06
"164",1.97181686258851e-06
"165",1.80868447741867e-06
"166",1.84483402926901e-06
"167",1.83565703193327e-06
"168",1.80902328133943e-06
"169",1.76196358393228e-06
"170",1.70098008920348e-06
"171",1.73850128518593e-06
"172",1.70893382569081e-06
"173",1.69935382144417e-06
"174",1.54671668852217e-06
"175",1.50263840225653e-06
"176",1.65907853107577e-06
"177",1.48211130577641e-06
"178",1.62937159391936e-06
"179",1.74782924094607e-06
"180",1.44654051367989e-06
"181",1.60766827923747e-06
"182",1.55979935767564e-06
"183",1.49347683569543e-06
"184",1.4747747593742e-06
"185",1.48381452979846e-06
"186",1.47050065813665e-06
"187",1.4672772808923e-06
"188",1.52273842127017e-06
"189",1.3921019803245e-06
"190",1.36581349458179e-06
"191",1.3714764472717e-06
"192",1.52626392404195e-06
"193",1.42507952814254e-06
"194",1.41797080614772e-06
"195",1.34026395368252e-06
"196",1.40086222360075e-06
"197",1.39873080459877e-06
"198",1.36237457861925e-06
"199",1.35560771938553e-06
"200",1.31197024062389e-06
"201",1.29424843649937e-06
"202",1.29131565075618e-06
"203",1.37853726567843e-06
"204",1.2195435883537e-06
"205",1.26141894778661e-06
"206",1.22106577135149e-06
"207",1.20266847953987e-06
"208",1.30440189872845e-06
"209",1.17498607286767e-06
"210",1.18728770622607e-06
"211",1.27392201270022e-06
"212",1.22191054433279e-06
"213",1.16838083016409e-06
"214",1.22349551733722e-06
"215",1.15062146597087e-06
"216",1.17344967367783e-06
"217",1.19979121384545e-06
"218",1.15128268270188e-06
"219",1.12762751411354e-06
"220",1.17776847855302e-06
"221",1.15914572301108e-06
"222",1.08827048173176e-06
"223",1.07533119149976e-06
"224",1.11216333217975e-06
"225",1.10692387612179e-06
"226",1.09655637360635e-06
"227",1.05841408186261e-06
"228",1.04838480570266e-06
"229",1.06408173171451e-06
"230",1.06092855133829e-06
"231",1.0140153201329e-06
"232",1.05406893972137e-06
"233",9.92689279914554e-07
"234",1.08734191092494e-06
"235",1.01794442964864e-06
"236",9.765296669509e-07
"237",9.45342421739893e-07
"238",9.95967115720975e-07
"239",9.61673586932111e-07
"240",1.00543746689699e-06
"241",1.00110612105425e-06
"242",9.77230917916938e-07
"243",9.28043184701323e-07
"244",8.63527796843317e-07
"245",9.41108877067283e-07
"246",1.03346683557252e-06
"247",9.49377033236155e-07
"248",9.24630037046151e-07
"249",9.07572980174074e-07
"250",8.9533347692029e-07
"251",8.89026557522367e-07
"252",9.59620050361339e-07
"253",9.32784146198893e-07
"254",9.46676825306705e-07
"255",8.44561741434052e-07
"256",8.99738295676254e-07
"257",9.27905106357823e-07
"258",8.4902846688391e-07
"259",9.37260739202202e-07
"260",8.31086221271862e-07
"261",8.18649126517111e-07
"262",8.54018746399147e-07
"263",8.45666069848291e-07
"264",8.50693895128224e-07
"265",8.30367425322098e-07
"266",8.48149327608857e-07
"267",8.10115463827917e-07
"268",8.42527822849518e-07
"269",7.82341768957703e-07
"270",7.90370212014351e-07
"271",8.64867315918803e-07
"272",7.86414523548955e-07
"273",8.50167685466354e-07
"274",8.1096267918323e-07
"275",8.2336341706187e-07
"276",8.53648667568284e-07
"277",8.0943925634411e-07
"278",7.62978119413287e-07
"279",8.02842747459447e-07
"280",8.15035101802647e-07
"281",7.70553929744867e-07
"282",8.24576769695203e-07
"283",7.54331103257072e-07
"284",7.72454030348956e-07
"285",7.32971904335913e-07
"286",7.69496920259047e-07
"287",7.79158420508552e-07
"288",7.54564959108041e-07
"289",7.69801037003255e-07
"290",7.00097525202504e-07
"291",7.58344444487812e-07
"292",7.40873516530281e-07
"293",7.30928695012946e-07
"294",7.41958447254445e-07
"295",7.38412686647967e-07
"296",7.66369239305504e-07
"297",7.22751979657331e-07
"298",7.08096860839224e-07
"299",7.28032212364728e-07
"300",6.91090799211414e-07
"301",6.95956605713405e-07
"302",7.20364222794804e-07
"303",7.30400684684538e-07
"304",6.80826459645453e-07
"305",6.85317461615009e-07
"306",6.86639780400054e-07
"307",6.98054600723438e-07
"308",7.05919530181244e-07
"309",6.8156642696838e-07
"310",6.91077179728648e-07
"311",6.46851695631119e-07
"312",6.60661680904739e-07
"313",6.80683363103846e-07
"314",6.98229989565917e-07
"315",6.57622807948757e-07
"316",6.96198688275817e-07
"317",6.71709392029145e-07
"318",6.45283639519267e-07
"319",6.47418403703316e-07
"320",6.70159906727958e-07
"321",6.88394009680961e-07
"322",6.55435949511587e-07
"323",6.75547995911171e-07
"324",6.43806229377892e-07
"325",6.49939769762136e-07
"326",6.71044935445072e-07
"327",6.49606322450889e-07
"328",6.09527540477892e-07
"329",6.11606202085809e-07
"330",6.57496293455226e-07
"331",6.15712118595356e-07
"332",6.45104940919686e-07
"333",6.17748420631955e-07
"334",6.0704844777798e-07
"335",6.17843113618069e-07
"336",6.0147875434971e-07
"337",5.98073488186714e-07
"338",6.51908481690261e-07
"339",6.00378521906533e-07
"340",6.10441624315346e-07
"341",5.9936377056793e-07
"342",6.16374590176217e-07
"343",6.19725283895149e-07
"344",6.04454594910407e-07
"345",5.84759637676477e-07
"346",5.9239879576725e-07
"347",5.95218504888928e-07
"348",6.04066962686664e-07
"349",5.98315894835688e-07
"350",6.15473865740148e-07
"351",5.63018895185822e-07
"352",5.90522796857408e-07
"353",6.0863722886008e-07
"354",6.03978548265256e-07
"355",6.07062061113852e-07
"356",5.93755557870567e-07
"357",5.89362794998621e-07
"358",5.61988245454621e-07
"359",5.44913327215004e-07
"360",5.36487996934889e-07
"361",5.83921239284079e-07
"362",5.93815216290874e-07
"363",5.95801429025042e-07
"364",5.85178392142325e-07
"365",5.69524572174164e-07
"366",5.43762125596433e-07
"367",5.55321347490434e-07
"368",5.42907689036029e-07
"369",5.48427708071921e-07
"370",5.68826836600868e-07
"371",5.61110792745693e-07
"372",5.36682631395259e-07
"373",5.6007899841338e-07
"374",5.70523534853241e-07
"375",5.41835044331329e-07
"376",5.56244722203165e-07
"377",5.3354802567266e-07
"378",5.27876148909482e-07
"379",5.48269685398213e-07
"380",5.39514668346583e-07
"381",5.57307162335832e-07
"382",5.67989787636436e-07
"383",5.1450823702211e-07
"384",5.31704222996988e-07
"385",5.43085809510904e-07
"386",5.4088195607032e-07
"387",5.23846377240834e-07
