"","x"
"1",0.000163153382685845
"2",0.000153610812477256
"3",0.000202531728548918
"4",8.4351766337549e-05
"5",9.75411205728104e-05
"6",8.36529321054974e-05
"7",0.000124368837380154
"8",0.000104024077491782
"9",6.50200412836779e-05
"10",6.37748032985483e-05
"11",4.61448407148638e-05
"12",4.40799401541046e-05
"13",3.37517502687215e-05
"14",3.53923692871177e-05
"15",3.16213413659419e-05
"16",2.72204192473887e-05
"17",3.10993819676936e-05
"18",2.47079907133789e-05
"19",2.35185320360515e-05
"20",2.46926853601187e-05
"21",2.79833796851573e-05
"22",2.24682576233989e-05
"23",1.93125543180959e-05
"24",1.97460000569151e-05
"25",2.02344185395257e-05
"26",1.77409892433088e-05
"27",1.88464526535288e-05
"28",1.76455379534146e-05
"29",1.47740272241873e-05
"30",1.67707346487823e-05
"31",1.2627183946301e-05
"32",1.32489552872554e-05
"33",1.21430569199359e-05
"34",1.09110316074498e-05
"35",1.03878586750778e-05
"36",9.85727224023311e-06
"37",1.12166575747964e-05
"38",1.09305360054903e-05
"39",1.12466924012095e-05
"40",8.92053575342957e-06
"41",9.80267786128331e-06
"42",1.03279719721436e-05
"43",9.11429954431724e-06
"44",7.79208452173765e-06
"45",1.02781174857653e-05
"46",8.35932019048429e-06
"47",8.59602317154931e-06
"48",8.38017642766149e-06
"49",7.94644405927461e-06
"50",7.35923920346905e-06
"51",7.23850694017449e-06
"52",7.17021507582522e-06
"53",7.00764006763614e-06
"54",6.82928263829197e-06
"55",7.26454991569093e-06
"56",6.92150609079398e-06
"57",6.18415082068139e-06
"58",6.91590816381082e-06
"59",6.83316148656637e-06
"60",6.29704818574899e-06
"61",6.52601923672513e-06
"62",6.43523626019184e-06
"63",6.86914988150578e-06
"64",5.6234421691547e-06
"65",5.56749605948143e-06
"66",6.29688796930893e-06
"67",5.7492042727709e-06
"68",5.16991876769089e-06
"69",5.97869132252525e-06
"70",5.5249127433848e-06
"71",5.56766902628592e-06
"72",5.01003930285003e-06
"73",4.95421733759078e-06
"74",5.26810035825992e-06
"75",5.18189670518552e-06
"76",5.4099520641128e-06
"77",5.12163564716208e-06
"78",5.1421317047596e-06
"79",4.54669783282283e-06
"80",4.58287257675827e-06
"81",5.0656014648235e-06
"82",3.82135280563422e-06
"83",4.03465008786066e-06
"84",4.18750034622292e-06
"85",4.0909596889441e-06
"86",3.95581065204772e-06
"87",4.04808152044362e-06
"88",4.09243862697816e-06
"89",3.958078957153e-06
"90",3.89072980087281e-06
"91",4.20257805034896e-06
"92",3.92966080692986e-06
"93",3.94262441041069e-06
"94",3.81519536826627e-06
"95",3.59314993504241e-06
"96",3.33239550381673e-06
"97",3.3903771454104e-06
"98",3.34478906365002e-06
"99",3.64562592997648e-06
"100",3.36839710868082e-06
"101",3.59736397244272e-06
"102",3.26910708236141e-06
"103",3.19150406739067e-06
"104",3.40720649667817e-06
"105",2.92357580017423e-06
"106",2.93684102555362e-06
"107",3.00045883898462e-06
"108",2.89976232448851e-06
"109",3.12999769676614e-06
"110",2.94251784911854e-06
"111",3.14985768145536e-06
"112",2.95125362086564e-06
"113",2.64573714912509e-06
"114",2.85033374574734e-06
"115",2.75528756423634e-06
"116",2.91980504957311e-06
"117",2.91375552635688e-06
"118",2.53147692941135e-06
"119",2.38000151007325e-06
"120",2.81708640728998e-06
"121",2.79149840016578e-06
"122",2.40071429284139e-06
"123",2.65631729386665e-06
"124",2.70353897891731e-06
"125",2.74040766153923e-06
"126",2.51820567394965e-06
"127",2.59229564701712e-06
"128",2.44049633786911e-06
"129",2.7824282432008e-06
"130",2.42625277294988e-06
"131",2.30082908965668e-06
"132",2.26899221995965e-06
"133",2.51960526754793e-06
"134",2.42753229814805e-06
"135",2.39307053419383e-06
"136",2.46000856447836e-06
"137",2.46766916374036e-06
"138",2.30439422492446e-06
"139",2.3313150903149e-06
"140",2.18608486096119e-06
"141",2.15053108858208e-06
"142",2.28984934263024e-06
"143",2.11911485485001e-06
"144",2.26735237210632e-06
"145",2.28472268387749e-06
"146",2.15010424911195e-06
"147",2.12944542726308e-06
"148",2.11190292181737e-06
"149",1.98943983979785e-06
"150",1.98417085214552e-06
"151",2.15752352480017e-06
"152",1.99015644635489e-06
"153",2.03955677952627e-06
"154",1.89922720466027e-06
"155",2.02454758376156e-06
"156",1.90341812369291e-06
"157",2.00418287672625e-06
"158",1.93558680656533e-06
"159",1.85002613137661e-06
"160",1.92867094214509e-06
"161",1.88335739212913e-06
"162",1.89859732664432e-06
"163",1.78090676688972e-06
"164",1.66519494488339e-06
"165",1.86151982979365e-06
"166",1.85266896700171e-06
"167",1.8652259279446e-06
"168",1.7369538178566e-06
"169",1.76391778502848e-06
"170",1.7940103678888e-06
"171",1.86869442563848e-06
"172",1.69715706564596e-06
"173",1.85966988795994e-06
"174",1.72995784135822e-06
"175",1.77836787016168e-06
"176",1.61765965462317e-06
"177",1.70960891637137e-06
"178",1.80247062740419e-06
"179",1.69869835906417e-06
"180",1.70706246522188e-06
"181",1.72277662491084e-06
"182",1.6911912030289e-06
"183",1.82225259379067e-06
"184",1.67857519609545e-06
"185",1.47681022561221e-06
"186",1.61228789669248e-06
"187",1.73118512377867e-06
"188",1.51731372781589e-06
"189",1.6485121534913e-06
"190",1.54631369594937e-06
"191",1.65175840303652e-06
"192",1.53481457412171e-06
"193",1.45122003106345e-06
"194",1.65051505603223e-06
"195",1.4772245975791e-06
"196",1.51170150419873e-06
"197",1.52064299863757e-06
"198",1.53771076189727e-06
"199",1.47152346400375e-06
"200",1.53036748410831e-06
"201",1.44176876167551e-06
"202",1.4392145582754e-06
"203",1.41693783204659e-06
"204",1.46874865565907e-06
"205",1.38676685014799e-06
"206",1.38710691095881e-06
"207",1.46892036497192e-06
"208",1.30726107017621e-06
"209",1.45459089954336e-06
"210",1.34177008214009e-06
"211",1.47284349099816e-06
"212",1.36964788475417e-06
"213",1.41388609620007e-06
"214",1.41310431919491e-06
"215",1.3046246386992e-06
"216",1.32816490837865e-06
"217",1.31351375054002e-06
"218",1.26951585940611e-06
"219",1.2549265963238e-06
"220",1.25548839146873e-06
"221",1.28511435893798e-06
"222",1.24717045326816e-06
"223",1.25965091670697e-06
"224",1.27805571109333e-06
"225",1.20306098446114e-06
"226",1.24018380543767e-06
"227",1.21274037588226e-06
"228",1.20523236631102e-06
"229",1.15780329300006e-06
"230",1.16168962443127e-06
"231",1.18730063392961e-06
"232",1.1834652754897e-06
"233",1.1302713728941e-06
"234",1.14585739343715e-06
"235",1.08414278053431e-06
"236",1.20108392474191e-06
"237",1.17955796443426e-06
"238",1.15344814205398e-06
"239",1.10059150791316e-06
"240",1.1408909626064e-06
"241",1.15907866020081e-06
"242",1.1344442024876e-06
"243",1.23086150786517e-06
"244",1.17370881408545e-06
"245",1.21772525473197e-06
"246",1.15233770709917e-06
"247",1.11509950169887e-06
"248",1.15444304251578e-06
"249",1.18685435517359e-06
"250",1.05596030279777e-06
"251",1.11080740605159e-06
"252",1.09685047971539e-06
"253",1.07222397323403e-06
"254",1.02853677900196e-06
