"","x"
"1",3.79111044085363e-06
"2",1.59782949635817e-06
"3",2.04433994706924e-06
"4",2.99676890071205e-06
"5",2.37092623769388e-06
"6",2.37129172236945e-06
"7",2.46207585694712e-06
"8",2.41788491571009e-06
"9",3.23191508996253e-06
"10",1.73958592745733e-06
"11",1.98381110936076e-06
"12",2.08004287973787e-06
"13",2.30573007633242e-06
"14",2.45204011782053e-06
"15",2.44891744813334e-06
"16",2.71295293206814e-06
"17",2.66996955584823e-06
"18",2.62712024781557e-06
"19",2.10683696861508e-06
"20",2.48634049181131e-06
"21",2.44052183649713e-06
"22",2.43212365466694e-06
"23",2.40682337392548e-06
"24",2.12109377398589e-06
"25",2.78876634755737e-06
"26",2.58580749674922e-06
"27",2.1418298398494e-06
"28",2.24370948018339e-06
"29",2.43022340733885e-06
"30",2.44581638518557e-06
"31",2.07098341977983e-06
"32",2.49602615220279e-06
"33",2.43735473403497e-06
"34",2.75343124583093e-06
"35",2.59955048212193e-06
"36",2.02097739769152e-06
"37",2.41844791029553e-06
"38",2.22862936143116e-06
"39",2.48238757369176e-06
"40",2.29017767594339e-06
"41",2.58605893045838e-06
"42",2.36896631595975e-06
"43",2.43734525488518e-06
"44",2.88099657677367e-06
"45",2.51993985488667e-06
"46",2.26985697182073e-06
"47",2.36494916447851e-06
"48",2.17843179979285e-06
"49",2.22272706619628e-06
"50",2.29393116121902e-06
"51",2.16918985721797e-06
"52",2.2888595006762e-06
"53",2.46174971997368e-06
"54",2.39581951058407e-06
"55",2.3727745300574e-06
"56",2.14425787018315e-06
"57",2.30212896263053e-06
"58",2.56240798471399e-06
"59",2.62462753228951e-06
"60",2.47983129171828e-06
"61",2.28425348852895e-06
"62",2.45776719317168e-06
"63",2.40977409802582e-06
"64",2.20066877708389e-06
"65",2.45931462366965e-06
"66",2.36490676913742e-06
"67",2.18906837679284e-06
"68",2.33525833496398e-06
"69",2.07691371450667e-06
"70",2.14052334949719e-06
"71",2.39241303538287e-06
"72",2.11350970195918e-06
"73",2.29846370612625e-06
"74",2.08278175386797e-06
"75",2.24939230156324e-06
"76",2.23393461520463e-06
"77",2.06055283096495e-06
"78",2.32320486069358e-06
"79",2.15430532317954e-06
"80",2.13505698667204e-06
"81",2.29924448128161e-06
"82",2.4552668847608e-06
"83",2.14436587566296e-06
"84",2.25095833621944e-06
"85",2.24442986678776e-06
"86",2.20872959640752e-06
"87",2.26247614920951e-06
"88",1.97573658355577e-06
"89",2.28906254434118e-06
"90",1.93779857017521e-06
"91",2.19063028304695e-06
"92",2.14006846768824e-06
"93",2.05778275392155e-06
"94",2.13336328873646e-06
"95",2.22388368945489e-06
"96",2.17923827580311e-06
"97",2.14466869546173e-06
"98",2.26277954137272e-06
"99",1.89807502916301e-06
"100",2.10863430068951e-06
"101",2.26025798850229e-06
"102",2.19055929710125e-06
"103",2.00807359444905e-06
"104",2.18791335190302e-06
"105",2.20043278969125e-06
"106",2.18908319266918e-06
"107",1.82105247264229e-06
"108",2.12867640990588e-06
"109",2.06279793042724e-06
"110",2.12272704632169e-06
"111",2.075687494009e-06
"112",1.99746917033505e-06
"113",1.93643979196827e-06
"114",2.00958276806772e-06
"115",1.93952026998161e-06
"116",1.9938522515268e-06
"117",1.99920251829725e-06
"118",2.01260469118025e-06
"119",2.1135113121235e-06
"120",2.23009086725145e-06
"121",2.01513282446999e-06
"122",2.15423318079336e-06
"123",1.91397723679334e-06
"124",1.85579710408099e-06
"125",1.85855991379833e-06
"126",1.98316642020502e-06
"127",1.90505933998314e-06
"128",1.8785976855927e-06
"129",1.85663009124633e-06
"130",1.93129541593687e-06
"131",1.88508380880697e-06
"132",1.84744434660892e-06
"133",1.9673655608148e-06
"134",2.05144927013368e-06
"135",1.94085069150687e-06
"136",2.00263022510506e-06
